Nome da tarefa,Categoria,"Data ",Descrição,Prioridade,Responsável,Status
Entender se vale mais a pena a API ou automação no N8N,Pesquisar,,,Baixa,Andy Raposo,Não iniciado
Adptar o conteúdo para diferentes usuários,Programar,,"Espressar o conteúdo através de signos linguísticos pertencentes a um universo linguistico de um grupo como os nerds, artistas, academicos… e ter as palavras de um traduzidas para os outros ",Alta,Joao Paulo Stangorlini de Carvalho,Em andamento
Eduardo Nicol - diálogica,Pesquisar,,,Baixa,Joao Paulo Stangorlini de Carvalho,Não iniciado
"Glossário de palavras ",Programar,,"Tentar fazer uma interface de signos linguísticos comuns das comunidades não só ifuspianas mas das “constelações"" principais do HUB (artística, geral, ...) essa
Mapear no glossário as palavras geradoras",Alta,Joao Paulo Stangorlini de Carvalho,falta testar
"Falar com a galera da pesquisa FAPESP ",touch the grass,,,Baixa,Joao Paulo Stangorlini de Carvalho,Não iniciado
"Ter uma régua tipo Kindle para página completa ",Programar,,,Baixa,Joao Paulo Stangorlini de Carvalho,falta testar
"Balões de reflexão na página completa ",Programar,,"Ao chegar na parte de reflexão sobre ter uma pausa com espaços de exercícios de reflexão Onde o usuário percebe a codificação que aql conteúdo estava, descodifica, reflete e dá então um novo significado... Ter também respostas para que tenhamos uma visão de que aql conteúdo foi significado e como Balões expansível de reflexão ao encostar na régua se espantem ",Alta,Joao Paulo Stangorlini de Carvalho,Em andamento
"Fazer os primeiros posts ",touch the grass,,,Baixa,Joao Paulo Stangorlini de Carvalho,Em andamento
Relatório do público alvo no envio,Programar,,,Baixa,Joao Paulo Stangorlini de Carvalho,Em andamento
"Contexto do post em questão ",Programar,,,Alta,Joao Paulo Stangorlini de Carvalho,falta testar
Revisar apresentação (site),touch the grass,,,Baixa,Joao Paulo Stangorlini de Carvalho,Não iniciado
Wiki de funcionamento da usp,Programar,,https://share.google/m73VzCg6lk3hoH2kZ,Baixa,Joao Paulo Stangorlini de Carvalho,Em andamento
Adicionar o noether no CGIF/falar com o noether,touch the grass,,,Baixa,Joao Paulo Stangorlini de Carvalho,Em andamento
